Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940626212496,720575940647731252,75371,136042,5,1,5,R7,aMe12,right,right
720575940626279205,720575940640836952,75688,130075,2,-1,-2,R7,aMe12,right,right
720575940626344781,720575940632489743,76009,108712,3,-1,-3,R7,aMe12,right,right
720575940626666021,720575940632489743,77652,108712,1,-1,-1,R7,aMe12,right,right
720575940626666021,720575940640836952,77652,130075,1,-1,-1,R7,aMe12,right,right
720575940626673712,720575940609627403,77699,7753,1,-1,-1,R8,aMe12,left,left
720575940626694330,720575940640715392,77818,129836,1,1,1,R7,aMe12,left,left
720575940626774064,720575940647731252,78244,136042,1,-1,-1,R7,aMe12,right,right
720575940626777744,720575940622446106,78266,55108,3,1,3,R8,aMe12,left,left
720575940626800944,720575940647731252,78420,136042,3,-1,-3,R8,aMe12,right,right
720575940626916810,720575940609627403,79149,7753,1,1,1,R8,aMe12,left,left
720575940626956837,720575940625459464,79384,71564,2,-1,-2,R8,aMe12,right,right
720575940626970298,720575940609627403,79460,7753,1,1,1,R8,aMe12,left,left
720575940627130980,720575940609627403,80487,7753,1,-1,-1,R8,aMe12,left,left
720575940627148234,720575940640836952,80596,130075,2,1,2,R7,aMe12,right,right
720575940627194430,720575940640715392,80959,129836,2,1,2,R8,aMe12,left,left
720575940627194430,720575940609627403,80959,7753,1,1,1,R8,aMe12,left,left
720575940627210596,720575940609627403,81052,7753,1,-1,-1,R7,aMe12,left,left
720575940627225274,720575940625459464,81158,71564,1,1,1,R8,aMe12,right,right
720575940627243962,720575940640836952,81258,130075,1,1,1,R8,aMe12,right,right
720575940627265892,720575940647731252,81398,136042,1,1,1,R8,aMe12,right,right
720575940627271037,720575940622446106,81427,55108,1,1,1,R8,aMe12,left,left
720575940627280130,720575940640836952,81485,130075,2,1,2,R7,aMe12,right,right
720575940627289177,720575940609627403,81560,7753,1,1,1,R8,aMe12,left,left
720575940627312729,720575940640836952,81726,130075,1,1,1,R7,aMe12,right,right
720575940627497609,720575940625459464,82817,71564,3,-1,-3,R7,aMe12,right,right
720575940627604825,720575940609627403,83387,7753,1,1,1,R7,aMe12,left,left
720575940627709565,720575940647731252,83933,136042,2,-1,-2,R8,aMe12,right,right
720575940627807065,720575940640715392,84537,129836,4,1,4,R8,aMe12,left,left
720575940627837321,720575940647731252,84711,136042,1,1,1,R8,aMe12,right,right
720575940627889480,720575940622446106,85002,55108,3,-1,-3,R7,aMe12,left,left
720575940627950973,720575940609627403,85377,7753,1,1,1,R8,aMe12,left,left
720575940627970898,720575940647731252,85484,136042,2,-1,-2,R7,aMe12,right,right
720575940628073298,720575940632489743,86090,108712,2,1,2,R7,aMe12,right,right
720575940628073554,720575940632489743,86091,108712,5,1,5,R8,aMe12,right,right
720575940628100489,720575940609627403,86255,7753,2,1,2,R7,aMe12,left,left
720575940628148111,720575940647731252,86551,136042,7,1,7,R8,aMe12,right,right
720575940628188170,720575940640715392,86750,129836,1,1,1,R8,aMe12,left,left
720575940628189256,720575940647731252,86756,136042,2,-1,-2,R8,aMe12,right,right
720575940628231443,720575940622446106,87007,55108,1,1,1,R7,aMe12,left,left
720575940628253690,720575940625459464,87138,71564,1,-1,-1,R7,aMe12,right,right
720575940628320789,720575940640836952,87534,130075,1,1,1,R8,aMe12,right,right
720575940628329482,720575940640715392,87594,129836,1,1,1,R8,aMe12,left,left
720575940628388264,720575940640836952,87991,130075,1,-1,-1,R7,aMe12,right,right
720575940628416017,720575940632489743,88173,108712,2,-1,-2,R7,aMe12,right,right
720575940628439812,720575940625459464,88297,71564,3,1,3,R7,aMe12,right,right
720575940628473092,720575940625459464,88489,71564,1,-1,-1,R8,aMe12,right,right
720575940628520168,720575940609627403,88701,7753,2,-1,-2,R8,aMe12,left,left
720575940628620565,720575940609627403,89261,7753,1,1,1,R7,aMe12,left,left
720575940628632337,720575940647731252,89331,136042,2,1,2,R8,aMe12,right,right
720575940628642044,720575940625459464,89387,71564,5,1,5,R8,aMe12,right,right
720575940628684292,720575940609627403,89610,7753,1,1,1,R8,aMe12,left,left
720575940628738728,720575940622446106,89896,55108,2,-1,-2,R7,aMe12,left,left
720575940628767899,720575940625459464,90069,71564,2,-1,-2,R7,aMe12,right,right
720575940628767899,720575940632489743,90069,108712,1,-1,-1,R7,aMe12,right,right
720575940628823281,720575940647731252,90432,136042,1,1,1,R7,aMe12,right,right
720575940628986954,720575940647731252,91290,136042,1,-1,-1,R7,aMe12,right,right
720575940629083377,720575940647731252,91806,136042,1,-1,-1,R7,aMe12,right,right
720575940629102922,720575940640836952,91892,130075,3,-1,-3,R7,aMe12,right,right
720575940629213127,720575940625459464,92475,71564,1,1,1,R8,aMe12,right,right
720575940629373937,720575940609627403,93205,7753,2,1,2,R8,aMe12,left,left
720575940629470763,720575940647731252,93712,136042,1,1,1,R8,aMe12,right,right
720575940629473323,720575940640836952,93725,130075,1,-1,-1,R7,aMe12,right,right
720575940629510249,720575940622446106,93958,55108,2,-1,-2,R7,aMe12,left,left
720575940629554987,720575940640715392,94193,129836,2,1,2,R7,aMe12,left,left
720575940629559145,720575940640715392,94206,129836,1,1,1,R7,aMe12,left,left
720575940629580304,720575940640715392,94306,129836,2,1,2,R7,aMe12,left,left
720575940629593193,720575940640715392,94371,129836,1,-1,-1,R7,aMe12,left,left
720575940629605419,720575940622446106,94426,55108,1,-1,-1,R7,aMe12,left,left
720575940629749547,720575940622446106,95081,55108,3,1,3,R8,aMe12,left,left
720575940629757739,720575940609627403,95127,7753,2,-1,-2,R8,aMe12,left,left
720575940629778987,720575940622446106,95224,55108,2,-1,-2,R8,aMe12,left,left
720575940629832195,720575940609627403,95493,7753,1,1,1,R8,aMe12,left,left
720575940630084507,720575940609627403,96839,7753,1,1,1,R7,aMe12,left,left
720575940630118247,720575940609627403,97012,7753,3,-1,-3,R7,aMe12,left,left
720575940630134887,720575940609627403,97094,7753,1,-1,-1,R8,aMe12,left,left
720575940630171959,720575940625459464,97283,71564,1,-1,-1,R8,aMe12,right,right
720575940630223771,720575940625459464,97564,71564,3,1,3,R8,aMe12,right,right
720575940630314110,720575940640836952,98034,130075,3,-1,-3,R7,aMe12,right,right
720575940630334334,720575940622446106,98127,55108,3,-1,-3,R7,aMe12,left,left
720575940630383607,720575940640715392,98357,129836,2,-1,-2,R7,aMe12,left,left
720575940630383607,720575940609627403,98357,7753,2,-1,-2,R7,aMe12,left,left
720575940630630782,720575940632489743,99646,108712,2,1,2,R7,aMe12,right,right
720575940630803578,720575940625459464,100645,71564,3,1,3,R8,aMe12,right,right
720575940630804791,720575940625459464,100652,71564,1,1,1,R8,aMe12,right,right
720575940630826231,720575940647731252,100779,136042,2,-1,-2,R7,aMe12,right,right
720575940630898944,720575940640836952,101125,130075,1,-1,-1,R7,aMe12,right,right
720575940630909660,720575940625459464,101195,71564,1,1,1,R8,aMe12,right,right
720575940630958454,720575940632489743,101474,108712,1,-1,-1,R7,aMe12,right,right
720575940631128694,720575940640836952,102401,130075,4,-1,-4,R7,aMe12,right,right
720575940631128694,720575940625459464,102401,71564,1,-1,-1,R7,aMe12,right,right
720575940631140919,720575940609627403,102464,7753,3,1,3,R8,aMe12,left,left
720575940631197496,720575940647731252,102764,136042,2,-1,-2,R7,aMe12,right,right
720575940631279324,720575940640715392,103206,129836,1,1,1,R8,aMe12,left,left
720575940631305180,720575940609627403,103348,7753,3,1,3,R8,aMe12,left,left
720575940631317292,720575940625459464,103417,71564,1,-1,-1,R7,aMe12,right,right
720575940631371259,720575940640715392,103659,129836,1,-1,-1,R7,aMe12,left,left
720575940631374843,720575940640836952,103671,130075,1,-1,-1,R7,aMe12,right,right
720575940631406329,720575940640836952,103819,130075,2,-1,-2,R8,aMe12,right,right
720575940631416428,720575940622446106,103877,55108,1,-1,-1,R7,aMe12,left,left
720575940631439734,720575940622446106,103984,55108,3,1,3,R8,aMe12,left,left
720575940631505913,720575940625459464,104311,71564,1,1,1,R7,aMe12,right,right
720575940631524805,720575940640836952,104401,130075,1,1,1,R8,aMe12,right,right
720575940631599611,720575940640715392,104769,129836,5,1,5,R8,aMe12,left,left
720575940631606981,720575940632489743,104795,108712,1,-1,-1,R7,aMe12,right,right
720575940631638981,720575940625459464,104958,71564,1,-1,-1,R7,aMe12,right,right
720575940631735127,720575940609627403,105384,7753,1,1,1,R7,aMe12,left,left
720575940631806539,720575940622446106,105643,55108,2,1,2,R8,aMe12,left,left
720575940632021867,720575940647731252,106614,136042,1,1,1,R7,aMe12,right,right
720575940632113682,720575940647731252,107039,136042,2,-1,-2,R7,aMe12,right,right
720575940632200207,720575940625459464,107371,71564,1,1,1,R8,aMe12,right,right
720575940632419395,720575940632489743,108393,108712,1,-1,-1,R7,aMe12,right,right
720575940632445852,720575940647731252,108526,136042,1,1,1,R8,aMe12,right,right
720575940632482105,720575940647731252,108681,136042,2,-1,-2,R8,aMe12,right,right
720575940632484419,720575940640836952,108690,130075,1,-1,-1,R7,aMe12,right,right
720575940632573240,720575940640715392,109056,129836,1,-1,-1,R7,aMe12,left,left
720575940632573240,720575940609627403,109056,7753,1,-1,-1,R7,aMe12,left,left
720575940632586297,720575940609627403,109112,7753,1,-1,-1,R7,aMe12,left,left
720575940632631097,720575940625459464,109315,71564,1,-1,-1,R8,aMe12,right,right
720575940632649795,720575940640715392,109402,129836,1,-1,-1,R7,aMe12,left,left
720575940632657512,720575940609627403,109429,7753,4,-1,-4,R7,aMe12,left,left
720575940632666435,720575940609627403,109467,7753,5,-1,-5,R7,aMe12,left,left
720575940632703545,720575940609627403,109633,7753,1,1,1,R8,aMe12,left,left
720575940632880441,720575940625459464,110442,71564,1,-1,-1,R7,aMe12,right,right
720575940633099311,720575940640715392,111214,129836,1,1,1,R8,aMe12,left,left
720575940633101260,720575940632489743,111219,108712,1,-1,-1,R7,aMe12,right,right
720575940633119279,720575940647731252,111274,136042,1,1,1,R7,aMe12,right,right
720575940633372243,720575940622446106,112264,55108,1,-1,-1,R8,aMe12,left,left
720575940633507359,720575940647731252,112661,136042,1,1,1,R8,aMe12,right,right
720575940633519308,720575940622446106,112698,55108,4,-1,-4,R7,aMe12,left,left
720575940633631661,720575940625459464,113080,71564,2,-1,-2,R8,aMe12,right,right
720575940633839021,720575940640836952,113741,130075,1,-1,-1,R7,aMe12,right,right
720575940633842146,720575940640715392,113754,129836,1,-1,-1,R7,aMe12,left,left
720575940633864275,720575940622446106,113816,55108,2,1,2,R7,aMe12,left,left
720575940634189267,720575940609627403,114597,7753,1,1,1,R8,aMe12,left,left
720575940634306274,720575940632489743,114906,108712,5,-1,-5,R7,aMe12,right,right
720575940634312929,720575940640715392,114919,129836,1,1,1,R7,aMe12,left,left
720575940634319827,720575940640836952,114935,130075,1,1,1,R8,aMe12,right,right
720575940634355682,720575940632489743,115029,108712,3,-1,-3,R7,aMe12,right,right
720575940634509794,720575940625459464,115373,71564,2,1,2,R7,aMe12,right,right
720575940634841369,720575940640836952,116195,130075,1,1,1,R8,aMe12,right,right
720575940634855449,720575940625459464,116225,71564,7,1,7,R8,aMe12,right,right
720575940635042912,720575940640715392,116711,129836,2,-1,-2,R8,aMe12,left,left
720575940635075740,720575940647731252,116800,136042,1,-1,-1,R7,aMe12,right,right
720575940635079324,720575940625459464,116811,71564,1,-1,-1,R7,aMe12,right,right
720575940635146396,720575940609627403,117032,7753,1,1,1,R7,aMe12,left,left
720575940635282528,720575940647731252,117462,136042,1,1,1,R7,aMe12,right,right
720575940635295840,720575940640836952,117503,130075,1,1,1,R8,aMe12,right,right
720575940635357024,720575940640836952,117651,130075,2,-1,-2,R7,aMe12,right,right
720575940635445695,720575940609627403,117836,7753,2,-1,-2,R8,aMe12,left,left
720575940635525995,720575940609627403,118056,7753,2,-1,-2,R7,aMe12,left,left
720575940635605183,720575940640836952,118299,130075,1,1,1,R8,aMe12,right,right
720575940635609751,720575940647731252,118316,136042,1,-1,-1,R7,aMe12,right,right
720575940635631767,720575940640836952,118376,130075,2,-1,-2,R7,aMe12,right,right
720575940635822783,720575940609627403,118903,7753,5,-1,-5,R7,aMe12,left,left
720575940635917675,720575940622446106,119159,55108,2,1,2,R8,aMe12,left,left
720575940635988831,720575940609627403,119337,7753,1,1,1,R8,aMe12,left,left
720575940636028664,720575940647731252,119418,136042,3,-1,-3,R8,aMe12,right,right
